Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Starlink-1788 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073V,46689
Starlink-1789 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073W,46690
Starlink-1790 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073X,46691
Starlink-1791 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Y,46692
Starlink-1792 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Z,46693
Starlink-1793 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AA,46694
Starlink-1794 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AB,46695
Starlink-1795 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AC,46696
Starlink-1797 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AE,46698
Starlink-1798 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AS,46779
Starlink-1799 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AF,46699
Starlink-1800 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AG,46700
Starlink-1801 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AH,46701
Starlink-1802 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AJ,46702
Starlink-1803 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AK,46703
Starlink-1804 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AL,46704
Starlink-1805 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AM,46705
Starlink-1806 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,04/02/2021,4,SpaceX,USA,Cape Canaveral,Falcon 9,2021-009B,47549
Starlink-1807 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AN,46706
Starlink-1808 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AP,46707
Starlink-1810 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AR,46709
Starlink-1811 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AS,46710
Starlink-1812 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088E,47126
Starlink-1813 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AT,46711
Starlink-1814 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AU,46712
Starlink-1815 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AV,46713
Starlink-1816 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AW,46714
Starlink-1817 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AX,46715
Starlink-1818 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AY,46716
Starlink-1820 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AZ ,46717
Starlink-1821 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BA,46718
Starlink-1822 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BB,46719
Starlink-1825 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BE,46722
Starlink-1826 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BF,46723
Starlink-1828 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BH,46725
Starlink-1829 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BJ,46726
Starlink-1830 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073BK,46727
Starlink-1832 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AT,46780
Starlink-1833 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074W,46759
Starlink-1834 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AU,46781
Starlink-1835 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AV,46782
Starlink-1837 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088G,47128
Starlink-1838 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088H,47129
Starlink-1839 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088J,47130
Starlink-1842 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088L,47132
Starlink-1843 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088M,47133
Starlink-1844 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088N,47134
Starlink-1845 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088P,47135
Starlink-1846 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088Q,47136
Starlink-1848 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074B,46740
Starlink-1849 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088R,47137
Starlink-1850 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088S,47138
Starlink-1851 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AW,46783
Starlink-1852 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088T,47139
Starlink-1854 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088V,47141
Starlink-1856 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088X,47143
Starlink-1857 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088Y,47144
Starlink-1860 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088AB,47147
Starlink-1861 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088AC,47148
Starlink-1862 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088AD,47149
